,Stemmed_Comments,Fixed_Comments
2542,anak yg dibwh th jangan kasih hp lah ajg baru umur segitu sekolah dlu yg bener,anak yg dibwh th jangan kasih hp lah ajg baru umur segitu sekolah dlu yg bener
2543,up,up
2544,tuju,tuju
2545,elisa ecklund yah kaka,elisa ecklund yah kaka
2546,wkwk kamu kata pinkguy jan paksain pls,wkwk kamu kata pinkguy jan paksain pls
2547,bisa,bisa
2548,tertawa a pinkguy jan paksain pls,tertawa a pinkguy jan paksain pls
2549,gila aku lihat vidio tampa skip yg gila iklan yg masuk vidio nihh njing gila erick salut kamu aku,tidak waras aku lihat vidio tampa skip yg tidak waras iklan yg masuk vidio nihh njing tidak waras erick salut kamu aku
2550,terimakasih sekarang aku motivasi makin semangat buat positif,terimakasih sekarang aku motivasi makin semangat buat positif
2551,tertawa tiap nntn kamu rickermotivasi makin semangat buat positif,tertawa tiap nntn kamu rickermotivasi makin semangat buat positif
2552,tahu bulat goreng dada dollar gurihhhh,tahu bulat goreng dada dollar gurihhhh
2553,yg pertama tubi tubi sekali,yg pertama tubi tubi sekali
2554,inti ngewe,inti berhubungan intim
2555,tak apa erick penting halal,tak apa erick penting halal
2556,channel hibur lucu bikin serang jantung buat positif,channel hibur lucu bikin serang jantung buat positif
2557,apa yg haters bilang usah peduli bang aku terus support kamu terus karya aja bang,apa yg haters bilang usah peduli bang aku terus support kamu terus karya aja bang
2558,wkw,wkw
2559,benci kepo,benci kepo
2560,erick pacar yuk toket aku d lohh,erick pacar yuk toket aku d lohh
2561,hanya lihat tak perlu membully,hanya lihat tak perlu membully
2562,eriko lim angkat aku jadi mirid kamu,eriko lim angkat aku jadi mirid kamu
2563,moba kok haters,moba kok haters
2564,njer voss gorenya dikit,njer voss gorenya dikit
2565,semagat rik,semagat rik
2566,ngesub komennya hate anjing apalagi yg beneran haters njir,ngesub komennya hate hewan ternak apalagi yg beneran haters njir
2567,aku liat aku unsubs dah cenel kamu kentod,aku liat aku unsubs dah cenel kamu kentod
2568,always soapers,always soapers
2569,haters apa heaters sejak kapan youtube buat ngangetin ngangetin nasi rice cooker lah,haters apa heaters sejak kapan youtube buat ngangetin ngangetin nasi rice cooker lah
2570,haters ea pantatlu tebel,haters ea pantatlu tebel
2571,hatters kok muka nya kaya valkon tetp aja nonton ni channel,hatters kok muka nya kaya valkon tetp aja nonton ni channel
2572,bang gua kilk subscribe x,bang gua kilk subscribe x
2573,haters make me famous,haters make me famous
2574,ahhhhhh ahhhh aku ngecrot bang ngeliat kamu melet tanggung jawab,ahhhhhh ahhhh aku ngecrot bang ngeliat kamu melet tanggung jawab
2575,buat heathers youtube buat ekspresi gaya kamu jadi diri kamu kalau suka jangan tonton buang otak penasaran kamu otak kamuflase sok bijak kaya paling bener kamu kira buat konten enak harga suka jangan tonton,buat heathers youtube buat ekspresi gaya kamu jadi diri kamu kalau suka jangan tonton buang otak penasaran kamu otak kamuflase sok bijak kaya paling bener kamu kira buat konten enak harga suka jangan tonton
2576,semangat eri,semangat eri
2577,kamu semua haters kontol yg suka ngebully kamu bawa uang orang tod kamu bully ericko sama aja kamu ngasih uang ericko jadi kamu jangan ragu buat ngebully orang ngebully orang sama aja kamu buat orang yg kamu bully jadi kenal,kamu semua haters alat kelamin pria yg suka ngebully kamu bawa uang orang tod kamu bully ericko sama aja kamu ngasih uang ericko jadi kamu jangan ragu buat ngebully orang ngebully orang sama aja kamu buat orang yg kamu bully jadi kenal
2578,haters anjing tolol goblok gasuka video nya gausah nonton anjing,haters hewan ternak tidak pengertian tidak pengertian gasuka video nya gausah nonton hewan ternak
2579,yaah buly kasi xeh ericolim suka nya cuman coli coli doang,yaah buly kasi xeh ericolim suka nya cuman coli coli doang
