likeCount,Comments,Author
1.0,erickontollim,THREEINSOMNIAC
0.0,jancokk  wkwkwkg karna luarnya aja belum tentu kita lebih baik dari dia,ENDY TRAVEL
0.0,udah kebal terhadap hater erickontoruuuu,kotohana san
0.0,hatersnya lucu lucu pada gaje semua hahahahaha ohh iya lo ganteng rick,WiseCat
0.0,woiii haters sekalian coba kalian jangan ngechat yang tidak baik,YT CP Official
0.0,qw pngin beli baju shoapking a lel gmna cra beli a lel,Gas Njeblug123
0.0,ngakak bgsd v,Fatkhan Akhmad
0.0,hahaahahangakak gua jing good vid cra beli a lel,Jenny Tan
0.0,kenapa gw suka lu karna gw suka cara lu nanggepin para haters ,
,,
,,
,,
,,
0.0,mo ngehate tapi mo nonton,
,,
0.0,erikontol terjebud love you lah njink loo,Bew wox
0.0,cari content tuh bukan makan jembut kontol,Areo Gaming
0.0,menit gua terbuang anjink,aih mana ada
0.0,niat amat comen ngehina panjang lebar l,yohanda malik
0.0,muka loh kaya sampah anjing goblok tai nangsat babi,Anwar Bjkfals
0.0,jaman sekarang anak masih bau seperma ajah udah nonton bokep goblok udh hilang aturan gituan anjing,Anwar Bjkfals
0.0,tereein kontolic,alfa gaming
0.0,panutan  btw ka eric ganteng erma ajah udah nonton bokep goblok udh hilang aturan gituan anjing,Nanda Laoma
0.0,semakin lu pada ngina dia semakin bnyak lagi uangnya bokep goblok udh hilang aturan gituan anjing,Bima Kacili
0.0,sumpah rikmukalokayakontolkejepitdanlojangansoksuci kerenmasihneteaja,mardianto tanjung
1.0,hili kintil,HEROZIN 100
0.0,mending uang nya buat gua v buat paketan paketan w sekarat neehh v,Anonymous ID
0.0,hai bang erickolim hime hime,Steven Tv
0.0,gudd bang rick gua belain lo bg rik,Dash Prabowo
0.0,mana nihh yang ngehate gua cari di komen kaga ada anjinggg,rio mahendra
0.0,sok suci,Gavin Erol
0.0,erick kolim kaya tai,Gavin Erol
0.0,gw ga suka sam si erick tapi ngakak anjir v,Puja Godhil
